Epoch 0, Loss: -34.21977233886719, Success rate: 0.203125, Mean reward: -0.6633985042572021, Std reward: 0.6754288673400879, Grad norm: {'image_features.0.weight': 4.698322772979736, 'image_features.0.bias': 1.4507985724776518e-05, 'image_features.1.weight': 0.22318404912948608, 'image_features.1.bias': 0.1593143492937088, 'image_features.4.weight': 11.191020011901855, 'image_features.4.bias': 4.08866480938741e-06, 'image_features.5.weight': 0.3040526509284973, 'image_features.5.bias': 0.18011774122714996, 'image_features.8.weight': 13.078344345092773, 'image_features.8.bias': 1.7698525880405214e-06, 'image_features.9.weight': 0.35967549681663513, 'image_features.9.bias': 0.2626331150531769, 'image_features.12.weight': 23.107379913330078, 'image_features.12.bias': 1.8283647023054073e-06, 'image_features.13.weight': 1.5538994073867798, 'image_features.13.bias': 2.289520263671875, 'tool_features.0.weight': 6.757742881774902, 'tool_features.0.bias': 2.046760840812567e-07, 'tool_features.1.weight': 0.40554195642471313, 'tool_features.1.bias': 0.35228845477104187, 'tool_features.3.weight': 10.89792251586914, 'tool_features.3.bias': 2.207772809015296e-07, 'tool_features.4.weight': 0.8442338109016418, 'tool_features.4.bias': 0.9606893062591553, 'regressor.1.weight': 53.635887145996094, 'regressor.1.bias': 7.120718002319336, 'regressor.3.weight': 42.988136291503906, 'regressor.3.bias': 20.866588592529297}
Epoch 1, Loss: -30.429201126098633, Success rate: 0.234375, Mean reward: -0.6110807657241821, Std reward: 0.7135761976242065, Grad norm: {'image_features.0.weight': 3.3306620121002197, 'image_features.0.bias': 6.987193955865223e-06, 'image_features.1.weight': 0.2085491120815277, 'image_features.1.bias': 0.12600742280483246, 'image_features.4.weight': 8.973777770996094, 'image_features.4.bias': 5.514118129212875e-06, 'image_features.5.weight': 0.2548656165599823, 'image_features.5.bias': 0.14596548676490784, 'image_features.8.weight': 11.483104705810547, 'image_features.8.bias': 9.916026328937733e-07, 'image_features.9.weight': 0.3245786130428314, 'image_features.9.bias': 0.2321351170539856, 'image_features.12.weight': 20.428102493286133, 'image_features.12.bias': 1.422151058250165e-06, 'image_features.13.weight': 1.390946626663208, 'image_features.13.bias': 2.0200817584991455, 'tool_features.0.weight': 5.842538833618164, 'tool_features.0.bias': 2.0963635449788853e-07, 'tool_features.1.weight': 0.33845213055610657, 'tool_features.1.bias': 0.2899145483970642, 'tool_features.3.weight': 9.06686782836914, 'tool_features.3.bias': 2.559674214808183e-07, 'tool_features.4.weight': 0.7459142208099365, 'tool_features.4.bias': 0.8556116819381714, 'regressor.1.weight': 47.9548225402832, 'regressor.1.bias': 6.371135711669922, 'regressor.3.weight': 37.52507781982422, 'regressor.3.bias': 18.28391456604004}
Epoch 2, Loss: -34.254703521728516, Success rate: 0.203125, Mean reward: -0.6678727269172668, Std reward: 0.6650241017341614, Grad norm: {'image_features.0.weight': 3.3245022296905518, 'image_features.0.bias': 8.964033440861385e-06, 'image_features.1.weight': 0.22179430723190308, 'image_features.1.bias': 0.12894447147846222, 'image_features.4.weight': 10.000941276550293, 'image_features.4.bias': 4.119880941289011e-06, 'image_features.5.weight': 0.29277825355529785, 'image_features.5.bias': 0.16358473896980286, 'image_features.8.weight': 12.880248069763184, 'image_features.8.bias': 1.3676385606231634e-06, 'image_features.9.weight': 0.3553329110145569, 'image_features.9.bias': 0.2621864676475525, 'image_features.12.weight': 22.99944496154785, 'image_features.12.bias': 1.4048058574189781e-06, 'image_features.13.weight': 1.5526236295700073, 'image_features.13.bias': 2.256686210632324, 'tool_features.0.weight': 3.705458641052246, 'tool_features.0.bias': 2.003988015530922e-07, 'tool_features.1.weight': 0.39625120162963867, 'tool_features.1.bias': 0.3347419202327728, 'tool_features.3.weight': 9.977932929992676, 'tool_features.3.bias': 2.9382132993305277e-07, 'tool_features.4.weight': 0.8238754868507385, 'tool_features.4.bias': 0.9413260817527771, 'regressor.1.weight': 53.346099853515625, 'regressor.1.bias': 7.0862812995910645, 'regressor.3.weight': 41.86998748779297, 'regressor.3.bias': 20.326641082763672}
Epoch 3, Loss: -25.07727813720703, Success rate: 0.28125, Mean reward: -0.5306944847106934, Std reward: 0.7622389793395996, Grad norm: {'image_features.0.weight': 2.3420464992523193, 'image_features.0.bias': 6.75762430546456e-06, 'image_features.1.weight': 0.1654621660709381, 'image_features.1.bias': 0.10345979779958725, 'image_features.4.weight': 7.784942150115967, 'image_features.4.bias': 4.89336662212736e-06, 'image_features.5.weight': 0.20734767615795135, 'image_features.5.bias': 0.12851020693778992, 'image_features.8.weight': 9.668963432312012, 'image_features.8.bias': 9.397125495524961e-07, 'image_features.9.weight': 0.2645895779132843, 'image_features.9.bias': 0.19702431559562683, 'image_features.12.weight': 16.97753143310547, 'image_features.12.bias': 1.2011280432489002e-06, 'image_features.13.weight': 1.1610122919082642, 'image_features.13.bias': 1.6966488361358643, 'tool_features.0.weight': 5.85660982131958, 'tool_features.0.bias': 2.7438230176812795e-07, 'tool_features.1.weight': 0.28789108991622925, 'tool_features.1.bias': 0.2551949620246887, 'tool_features.3.weight': 7.255277156829834, 'tool_features.3.bias': 2.242215657588531e-07, 'tool_features.4.weight': 0.6159772276878357, 'tool_features.4.bias': 0.6970133781433105, 'regressor.1.weight': 40.17185974121094, 'regressor.1.bias': 5.291743278503418, 'regressor.3.weight': 31.600460052490234, 'regressor.3.bias': 15.251595497131348}
Epoch 4, Loss: -28.469993591308594, Success rate: 0.265625, Mean reward: -0.5756038427352905, Std reward: 0.7161874175071716, Grad norm: {'image_features.0.weight': 2.944232702255249, 'image_features.0.bias': 6.295844286796637e-06, 'image_features.1.weight': 0.19646252691745758, 'image_features.1.bias': 0.12148105353116989, 'image_features.4.weight': 8.84725284576416, 'image_features.4.bias': 3.2031675800681114e-06, 'image_features.5.weight': 0.23802757263183594, 'image_features.5.bias': 0.14258231222629547, 'image_features.8.weight': 10.62904167175293, 'image_features.8.bias': 8.92411776476365e-07, 'image_features.9.weight': 0.2968611717224121, 'image_features.9.bias': 0.21685552597045898, 'image_features.12.weight': 18.898479461669922, 'image_features.12.bias': 1.1320888688715058e-06, 'image_features.13.weight': 1.2770776748657227, 'image_features.13.bias': 1.905726671218872, 'tool_features.0.weight': 3.0190796852111816, 'tool_features.0.bias': 1.4707777040712244e-07, 'tool_features.1.weight': 0.31865838170051575, 'tool_features.1.bias': 0.2818158268928528, 'tool_features.3.weight': 8.905473709106445, 'tool_features.3.bias': 2.1176072095840937e-07, 'tool_features.4.weight': 0.6748708486557007, 'tool_features.4.bias': 0.7880281209945679, 'regressor.1.weight': 44.03490447998047, 'regressor.1.bias': 5.8799238204956055, 'regressor.3.weight': 35.764556884765625, 'regressor.3.bias': 17.449291229248047}
Epoch 5, Loss: -30.01003646850586, Success rate: 0.25, Mean reward: -0.5911169052124023, Std reward: 0.7176991701126099, Grad norm: {'image_features.0.weight': 3.7094757556915283, 'image_features.0.bias': 5.586915449384833e-06, 'image_features.1.weight': 0.20740072429180145, 'image_features.1.bias': 0.13139092922210693, 'image_features.4.weight': 9.851905822753906, 'image_features.4.bias': 4.162506229477003e-06, 'image_features.5.weight': 0.2769433259963989, 'image_features.5.bias': 0.1627996265888214, 'image_features.8.weight': 12.066166877746582, 'image_features.8.bias': 8.207953783312405e-07, 'image_features.9.weight': 0.34455645084381104, 'image_features.9.bias': 0.25466325879096985, 'image_features.12.weight': 20.993122100830078, 'image_features.12.bias': 1.6393604482800583e-06, 'image_features.13.weight': 1.434345006942749, 'image_features.13.bias': 2.0399675369262695, 'tool_features.0.weight': 5.3362836837768555, 'tool_features.0.bias': 2.479802674315579e-07, 'tool_features.1.weight': 0.3428994417190552, 'tool_features.1.bias': 0.2982245087623596, 'tool_features.3.weight': 9.52284049987793, 'tool_features.3.bias': 1.9679313822962285e-07, 'tool_features.4.weight': 0.8014397621154785, 'tool_features.4.bias': 0.9082825779914856, 'regressor.1.weight': 49.42265701293945, 'regressor.1.bias': 6.554136276245117, 'regressor.3.weight': 37.75065994262695, 'regressor.3.bias': 18.32630157470703}
Epoch 6, Loss: -35.31855773925781, Success rate: 0.203125, Mean reward: -0.6740702390670776, Std reward: 0.6566684246063232, Grad norm: {'image_features.0.weight': 4.018219947814941, 'image_features.0.bias': 1.2874645108240657e-05, 'image_features.1.weight': 0.2436702996492386, 'image_features.1.bias': 0.14555183053016663, 'image_features.4.weight': 10.8983736038208, 'image_features.4.bias': 4.6228442442952655e-06, 'image_features.5.weight': 0.29853785037994385, 'image_features.5.bias': 0.16807113587856293, 'image_features.8.weight': 13.865020751953125, 'image_features.8.bias': 1.4128211205388652e-06, 'image_features.9.weight': 0.3782689869403839, 'image_features.9.bias': 0.28177741169929504, 'image_features.12.weight': 24.558183670043945, 'image_features.12.bias': 1.763682462296856e-06, 'image_features.13.weight': 1.6684526205062866, 'image_features.13.bias': 2.402677536010742, 'tool_features.0.weight': 2.4772019386291504, 'tool_features.0.bias': 1.7589087519809254e-07, 'tool_features.1.weight': 0.33704161643981934, 'tool_features.1.bias': 0.3326285779476166, 'tool_features.3.weight': 9.178778648376465, 'tool_features.3.bias': 2.874834024169104e-07, 'tool_features.4.weight': 0.8977549076080322, 'tool_features.4.bias': 1.0122288465499878, 'regressor.1.weight': 57.64493942260742, 'regressor.1.bias': 7.619458198547363, 'regressor.3.weight': 43.94655227661133, 'regressor.3.bias': 21.330705642700195}
Epoch 7, Loss: -30.86945343017578, Success rate: 0.234375, Mean reward: -0.621895432472229, Std reward: 0.6916798949241638, Grad norm: {'image_features.0.weight': 3.652573347091675, 'image_features.0.bias': 1.7339863916276954e-05, 'image_features.1.weight': 0.22652840614318848, 'image_features.1.bias': 0.1260782927274704, 'image_features.4.weight': 9.95612907409668, 'image_features.4.bias': 3.1950910397426924e-06, 'image_features.5.weight': 0.27409419417381287, 'image_features.5.bias': 0.1575867235660553, 'image_features.8.weight': 11.642451286315918, 'image_features.8.bias': 1.2859576372648007e-06, 'image_features.9.weight': 0.3361918330192566, 'image_features.9.bias': 0.24118968844413757, 'image_features.12.weight': 20.42715072631836, 'image_features.12.bias': 1.3829835552314762e-06, 'image_features.13.weight': 1.4047478437423706, 'image_features.13.bias': 2.0216877460479736, 'tool_features.0.weight': 5.328563213348389, 'tool_features.0.bias': 1.2795770487628033e-07, 'tool_features.1.weight': 0.3199487328529358, 'tool_features.1.bias': 0.278915137052536, 'tool_features.3.weight': 9.350737571716309, 'tool_features.3.bias': 2.1143158335235057e-07, 'tool_features.4.weight': 0.7869716286659241, 'tool_features.4.bias': 0.892877459526062, 'regressor.1.weight': 48.709869384765625, 'regressor.1.bias': 6.47324800491333, 'regressor.3.weight': 38.02911376953125, 'regressor.3.bias': 18.469083786010742}
Epoch 8, Loss: -37.28948211669922, Success rate: 0.203125, Mean reward: -0.6817882061004639, Std reward: 0.6420014500617981, Grad norm: {'image_features.0.weight': 4.636117935180664, 'image_features.0.bias': 1.5208747754513752e-05, 'image_features.1.weight': 0.2573625147342682, 'image_features.1.bias': 0.15816371142864227, 'image_features.4.weight': 11.954214096069336, 'image_features.4.bias': 3.65037362826115e-06, 'image_features.5.weight': 0.33721399307250977, 'image_features.5.bias': 0.19544187188148499, 'image_features.8.weight': 14.78528118133545, 'image_features.8.bias': 9.95832351691206e-07, 'image_features.9.weight': 0.41535234451293945, 'image_features.9.bias': 0.3126296103000641, 'image_features.12.weight': 26.093841552734375, 'image_features.12.bias': 1.6259725725831231e-06, 'image_features.13.weight': 1.7754013538360596, 'image_features.13.bias': 2.488983154296875, 'tool_features.0.weight': 10.117671012878418, 'tool_features.0.bias': 2.591332020074333e-07, 'tool_features.1.weight': 0.4504765570163727, 'tool_features.1.bias': 0.4237120747566223, 'tool_features.3.weight': 12.652952194213867, 'tool_features.3.bias': 2.683395337044203e-07, 'tool_features.4.weight': 0.9889808893203735, 'tool_features.4.bias': 1.121267557144165, 'regressor.1.weight': 61.36397933959961, 'regressor.1.bias': 8.104917526245117, 'regressor.3.weight': 46.75532531738281, 'regressor.3.bias': 22.594867706298828}
Epoch 9, Loss: -32.76763916015625, Success rate: 0.234375, Mean reward: -0.636437177658081, Std reward: 0.6658735275268555, Grad norm: {'image_features.0.weight': 3.3210878372192383, 'image_features.0.bias': 1.566169703437481e-05, 'image_features.1.weight': 0.2346571534872055, 'image_features.1.bias': 0.14823748171329498, 'image_features.4.weight': 9.978883743286133, 'image_features.4.bias': 5.24241568200523e-06, 'image_features.5.weight': 0.2864835560321808, 'image_features.5.bias': 0.16892071068286896, 'image_features.8.weight': 12.546971321105957, 'image_features.8.bias': 1.4004895092512015e-06, 'image_features.9.weight': 0.35638242959976196, 'image_features.9.bias': 0.2615925073623657, 'image_features.12.weight': 22.34112548828125, 'image_features.12.bias': 1.336754053227196e-06, 'image_features.13.weight': 1.5151846408843994, 'image_features.13.bias': 2.200636863708496, 'tool_features.0.weight': 5.3650946617126465, 'tool_features.0.bias': 1.5001634778855077e-07, 'tool_features.1.weight': 0.3524801433086395, 'tool_features.1.bias': 0.3073871433734894, 'tool_features.3.weight': 9.615354537963867, 'tool_features.3.bias': 3.0091067060311616e-07, 'tool_features.4.weight': 0.8140921592712402, 'tool_features.4.bias': 0.9423495531082153, 'regressor.1.weight': 52.32453918457031, 'regressor.1.bias': 6.951230525970459, 'regressor.3.weight': 40.644718170166016, 'regressor.3.bias': 19.726613998413086}
Epoch 10, Loss: -37.87120819091797, Success rate: 0.171875, Mean reward: -0.721110999584198, Std reward: 0.6193274855613708, Grad norm: {'image_features.0.weight': 4.798203468322754, 'image_features.0.bias': 6.002157533657737e-06, 'image_features.1.weight': 0.2411927431821823, 'image_features.1.bias': 0.1770087331533432, 'image_features.4.weight': 12.128741264343262, 'image_features.4.bias': 5.1391662054811604e-06, 'image_features.5.weight': 0.32574960589408875, 'image_features.5.bias': 0.1954338401556015, 'image_features.8.weight': 14.226627349853516, 'image_features.8.bias': 1.2613751323442557e-06, 'image_features.9.weight': 0.40694481134414673, 'image_features.9.bias': 0.3016652464866638, 'image_features.12.weight': 25.62544059753418, 'image_features.12.bias': 1.8566017843113514e-06, 'image_features.13.weight': 1.7326099872589111, 'image_features.13.bias': 2.531787157058716, 'tool_features.0.weight': 6.344577312469482, 'tool_features.0.bias': 2.854045817457518e-07, 'tool_features.1.weight': 0.41009625792503357, 'tool_features.1.bias': 0.3609023094177246, 'tool_features.3.weight': 11.241524696350098, 'tool_features.3.bias': 2.9191468797762354e-07, 'tool_features.4.weight': 0.9528997540473938, 'tool_features.4.bias': 1.086001992225647, 'regressor.1.weight': 60.055728912353516, 'regressor.1.bias': 7.992879867553711, 'regressor.3.weight': 46.493656158447266, 'regressor.3.bias': 22.625656127929688}
